Entity,Code,Year,"Gross enrolment ratio, tertiary, gender parity index (GPI)"
Afghanistan,AFG,1970,0.16564999520778698
Afghanistan,AFG,1972,0.153699994087219
Afghanistan,AFG,1973,0.185780003666878
Afghanistan,AFG,1974,0.16274000704288502
Afghanistan,AFG,1975,0.16532999277114901
Afghanistan,AFG,1976,0.16538000106811498
Afghanistan,AFG,1977,0.265439987182617
Afghanistan,AFG,1978,0.23694999516010298
Afghanistan,AFG,1979,0.18656000494957
Afghanistan,AFG,1986,0.17375999689102198
Afghanistan,AFG,1990,0.47751998901367204
Afghanistan,AFG,2003,0.28178000450134305
Afghanistan,AFG,2004,0.280339986085892
Afghanistan,AFG,2009,0.23564000427722898
Afghanistan,AFG,2011,0.344819992780685
Afghanistan,AFG,2014,0.27647000551223805
Albania,ALB,1971,0.511089980602264
Albania,ALB,1972,0.504710018634796
Albania,ALB,1978,0.831830024719238
Albania,ALB,1981,1.02816998958588
Albania,ALB,1983,0.9551299810409549
Albania,ALB,1984,0.906840026378632
Albania,ALB,1985,0.8575000166893009
Albania,ALB,1986,0.873920023441315
Albania,ALB,1987,0.95253998041153
Albania,ALB,1988,1.03068995475769
Albania,ALB,1989,1.07041001319885
Albania,ALB,1990,1.1131800413131698
Albania,ALB,1991,1.11046004295349
Albania,ALB,1992,1.10959005355835
Albania,ALB,1993,1.02790999412537
Albania,ALB,1994,1.1144700050354
Albania,ALB,1995,1.0760300159454301
Albania,ALB,1996,1.1292599439621
Albania,ALB,1997,1.2635999917983998
Albania,ALB,1998,1.2709599733352699
Albania,ALB,1999,1.43777000904083
Albania,ALB,2000,1.42604005336761
Albania,ALB,2001,1.4934799671173102
Albania,ALB,2002,1.5403300523757901
Albania,ALB,2003,1.56445002555847
Albania,ALB,2004,1.53630995750427
Albania,ALB,2005,1.4334499835968
Albania,ALB,2006,1.32507002353668
Albania,ALB,2007,1.37293004989624
Albania,ALB,2008,1.3326200246810902
Albania,ALB,2009,1.39928996562958
Albania,ALB,2010,1.39706003665924
Albania,ALB,2011,1.40907001495361
Albania,ALB,2012,1.3950099945068402
Albania,ALB,2013,1.39188003540039
Albania,ALB,2014,1.4081200361251798
Albania,ALB,2015,1.3986599445343
Algeria,DZA,2004,1.07806003093719
Algeria,DZA,2005,1.2784299850463898
Algeria,DZA,2006,1.25690996646881
Algeria,DZA,2007,1.3930900096893302
Algeria,DZA,2009,1.4309300184249898
Algeria,DZA,2010,1.4422500133514398
Algeria,DZA,2011,1.44957995414734
Algeria,DZA,2012,1.4782600402831998
Algeria,DZA,2013,1.50365996360779
Algeria,DZA,2014,1.5266100168228103
Algeria,DZA,2015,1.5596100091934197
Angola,AGO,1990,0.19430999457836198
Angola,AGO,1998,0.6891300082206729
Angola,AGO,1999,0.6323000192642211
Angola,AGO,2002,0.65447998046875
Angola,AGO,2011,0.370319992303848
Angola,AGO,2013,0.801249980926514
Angola,AGO,2015,0.793389976024628
Antigua and Barbuda,ATG,2009,2.1541500091552703
Antigua and Barbuda,ATG,2010,2.50313997268677
Antigua and Barbuda,ATG,2011,1.9168299436569198
Antigua and Barbuda,ATG,2012,2.06660008430481
Arab World,,1970,0.563950002193451
Arab World,,1971,0.558709979057312
Arab World,,1972,0.5546600222587591
Arab World,,1973,0.553610026836395
Arab World,,1974,0.555899977684021
Arab World,,1975,0.557770013809204
Arab World,,1976,0.5659000277519229
Arab World,,1977,0.542400002479553
Arab World,,1978,0.5391200184822079
Arab World,,1979,0.5579699873924261
Arab World,,1980,0.565460026264191
Arab World,,1981,0.571430027484894
Arab World,,1982,0.5759900212287901
Arab World,,1983,0.5835999846458441
Arab World,,1984,0.5873699784278871
Arab World,,1985,0.603280007839203
Arab World,,1986,0.58951997756958
Arab World,,1987,0.593129992485046
Arab World,,1988,0.644659996032715
Arab World,,1989,0.670700013637543
Arab World,,1990,0.702870011329651
Arab World,,1991,0.7329199910163879
Arab World,,1992,0.736850023269653
Arab World,,1993,0.7555500268936161
Arab World,,1994,0.755840003490448
Arab World,,1995,0.7663199901580809
Arab World,,1996,0.775309979915619
Arab World,,1997,0.785369992256165
Arab World,,1998,0.807820022106171
Arab World,,1999,0.8263000249862671
Arab World,,2000,0.8499299883842472
Arab World,,2001,0.866280019283295
Arab World,,2002,0.8940299749374391
Arab World,,2003,0.940039992332459
Arab World,,2004,0.9299499988555909
Arab World,,2005,0.959119975566864
Arab World,,2006,0.9955499768257141
Arab World,,2007,0.9641100168228149
Arab World,,2008,1.0435500144958498
Arab World,,2009,1.04197001457214
Arab World,,2010,1.0422799587249798
Arab World,,2011,1.04527997970581
Arab World,,2012,1.0608600378036501
Arab World,,2013,1.03565001487732
Arab World,,2014,1.04184997081757
Argentina,ARG,1970,0.7680299878120419
Argentina,ARG,1971,0.8375700116157528
Argentina,ARG,1972,0.8735499978065491
Argentina,ARG,1973,0.8545600175857541
Argentina,ARG,1974,0.8449900150299069
Argentina,ARG,1975,0.929910004138947
Argentina,ARG,1976,0.931770026683807
Argentina,ARG,1977,0.9240300059318539
Argentina,ARG,1978,1.00878000259399
Argentina,ARG,1979,0.98752999305725
Argentina,ARG,1980,1.0150500535965
Argentina,ARG,1981,1.1389399766922
Argentina,ARG,1982,1.13372004032135
Argentina,ARG,1983,1.16296994686127
Argentina,ARG,1984,1.1450400352478
Argentina,ARG,1985,1.11471998691559
Argentina,ARG,1986,1.1397500038147
Argentina,ARG,1987,1.1569700241088898
Argentina,ARG,1999,1.6302200555801398
Argentina,ARG,2000,1.54674005508423
Argentina,ARG,2001,1.4800100326538101
Argentina,ARG,2002,1.4894299507141102
Argentina,ARG,2003,1.51364994049072
Argentina,ARG,2004,1.4240000247955302
Argentina,ARG,2005,1.45632994174957
Argentina,ARG,2006,1.5214600563049299
Argentina,ARG,2007,1.51988995075226
Argentina,ARG,2008,1.5216499567031898
Argentina,ARG,2009,1.50938999652863
Argentina,ARG,2010,1.5076500177383403
Argentina,ARG,2011,1.5618900060653702
Argentina,ARG,2012,1.57287001609802
Argentina,ARG,2013,1.60877001285553
Argentina,ARG,2014,1.61947000026703
Armenia,ARM,2000,1.25872004032135
Armenia,ARM,2001,1.34223997592926
Armenia,ARM,2002,1.3756400346756001
Armenia,ARM,2003,1.35890996456146
Armenia,ARM,2004,1.5162999629974399
Armenia,ARM,2005,1.53231000900269
Armenia,ARM,2006,1.4870300292968797
Armenia,ARM,2007,1.5075399875640902
Armenia,ARM,2008,1.54938995838165
Armenia,ARM,2009,1.5464600324630702
Armenia,ARM,2010,1.5678999423980702
Armenia,ARM,2011,1.5420800447463998
Armenia,ARM,2012,1.4628499746322599
Armenia,ARM,2013,1.30541002750397
Armenia,ARM,2014,1.21071004867554
Armenia,ARM,2015,1.1286300420761102
Aruba,ABW,1999,1.15580999851227
Aruba,ABW,2000,1.5140800476074199
Aruba,ABW,2001,1.50704002380371
Aruba,ABW,2002,1.49705994129181
Aruba,ABW,2003,1.4269599914550801
Aruba,ABW,2004,1.4745299816131598
Aruba,ABW,2005,1.44018995761871
Aruba,ABW,2006,1.46350002288818
Aruba,ABW,2007,1.36267995834351
Aruba,ABW,2008,1.37217998504639
Aruba,ABW,2009,1.4328399896621697
Aruba,ABW,2010,1.4123899936676
Aruba,ABW,2011,1.4993000030517598
Aruba,ABW,2012,1.49501001834869
Aruba,ABW,2013,2.2046101093292205
Aruba,ABW,2014,2.2714900970458998
Aruba,ABW,2015,2.2630200386047403
Australia,AUS,1970,0.5040299892425539
Australia,AUS,1971,0.53575998544693
Australia,AUS,1972,0.560450017452239
Australia,AUS,1973,0.591889977455139
Australia,AUS,1974,0.652249991893768
Australia,AUS,1975,0.70278000831604
Australia,AUS,1976,0.7610899806022641
Australia,AUS,1977,0.7750999927520749
Australia,AUS,1978,0.8077899813652042
Australia,AUS,1979,0.836650013923645
Australia,AUS,1980,0.856989979743958
Australia,AUS,1981,0.851790010929108
Australia,AUS,1982,0.868269979953766
Australia,AUS,1983,0.891099989414215
Australia,AUS,1984,0.903509974479675
